HCHO_reading,Location,Current_date,Next_date,Month,Year
5.830909719406619e-05,Jaffna,2019-01-01,2019-01-02,1,2019
0.0001017952795536,Jaffna,2019-01-02,2019-01-03,1,2019
3.93133105404262e-05,Jaffna,2019-01-03,2019-01-04,1,2019
9.035578079019237e-05,Jaffna,2019-01-04,2019-01-05,1,2019
0.0001589137302293,Jaffna,2019-01-05,2019-01-06,1,2019
7.539679629744287e-05,Jaffna,2019-01-06,2019-01-07,1,2019
0.0001799237734955,Jaffna,2019-01-07,2019-01-08,1,2019
9.470708011674723e-05,Jaffna,2019-01-08,2019-01-09,1,2019
2.109364950895559e-06,Jaffna,2019-01-09,2019-01-10,1,2019
0.0001318967807501,Jaffna,2019-01-10,2019-01-11,1,2019
0.0001337016372402,Jaffna,2019-01-11,2019-01-12,1,2019
5.9570030841276426e-05,Jaffna,2019-01-12,2019-01-13,1,2019
9.035578079019237e-05,Jaffna,2019-01-13,2019-01-14,1,2019
2.010835129084908e-05,Jaffna,2019-01-14,2019-01-15,1,2019
3.94847944175773e-05,Jaffna,2019-01-15,2019-01-16,1,2019
6.686277882732807e-05,Jaffna,2019-01-16,2019-01-17,1,2019
5.18184452543004e-05,Jaffna,2019-01-17,2019-01-18,1,2019
9.154995885051224e-05,Jaffna,2019-01-18,2019-01-19,1,2019
1.707625620314082e-05,Jaffna,2019-01-19,2019-01-20,1,2019
9.035578079019237e-05,Jaffna,2019-01-20,2019-01-21,1,2019
0.0001840677559424,Jaffna,2019-01-21,2019-01-22,1,2019
9.561663077100936e-05,Jaffna,2019-01-22,2019-01-23,1,2019
0.0001003762537841,Jaffna,2019-01-23,2019-01-24,1,2019
7.40591053869194e-05,Jaffna,2019-01-24,2019-01-25,1,2019
8.133567760369957e-05,Jaffna,2019-01-25,2019-01-26,1,2019
7.100806903845069e-05,Jaffna,2019-01-26,2019-01-27,1,2019
0.0001575832971284,Jaffna,2019-01-27,2019-01-28,1,2019
0.0001559252593195,Jaffna,2019-01-28,2019-01-29,1,2019
0.0001565067390967,Jaffna,2019-01-29,2019-01-30,1,2019
7.858827423877602e-05,Jaffna,2019-01-30,2019-01-31,1,2019
5.2357333762168965e-05,Jaffna,2019-01-31,2019-02-01,1,2019
3.92767249346337e-05,Jaffna,2019-02-01,2019-02-02,2,2019
4.13203491997759e-05,Jaffna,2019-02-02,2019-02-03,2,2019
7.24383640488506e-05,Jaffna,2019-02-03,2019-02-04,2,2019
9.385973969212946e-05,Jaffna,2019-02-04,2019-02-05,2,2019
9.385973969212946e-05,Jaffna,2019-02-05,2019-02-06,2,2019
2.390234104806981e-05,Jaffna,2019-02-06,2019-02-07,2,2019
0.0001053063940188,Jaffna,2019-02-07,2019-02-08,2,2019
0.0001589486283796,Jaffna,2019-02-08,2019-02-09,2,2019
8.587924520412733e-05,Jaffna,2019-02-09,2019-02-10,2,2019
0.0001535258003232,Jaffna,2019-02-10,2019-02-11,2,2019
3.2951201334642755e-05,Jaffna,2019-02-11,2019-02-12,2,2019
6.52509876969887e-05,Jaffna,2019-02-12,2019-02-13,2,2019
8.473493836064989e-05,Jaffna,2019-02-13,2019-02-14,2,2019
4.350650882572056e-05,Jaffna,2019-02-14,2019-02-15,2,2019
0.0001286444716494,Jaffna,2019-02-15,2019-02-16,2,2019
7.220437792754523e-05,Jaffna,2019-02-16,2019-02-17,2,2019
0.0001996613275805,Jaffna,2019-02-17,2019-02-18,2,2019
0.0001144786617752,Jaffna,2019-02-18,2019-02-19,2,2019
0.0001779951041252,Jaffna,2019-02-19,2019-02-20,2,2019
9.03136843347107e-05,Jaffna,2019-02-20,2019-02-21,2,2019
4.6319964771203575e-05,Jaffna,2019-02-21,2019-02-22,2,2019
5.7038448135490425e-05,Jaffna,2019-02-22,2019-02-23,2,2019
2.5419065214249614e-05,Jaffna,2019-02-23,2019-02-24,2,2019
0.000102055793893,Jaffna,2019-02-24,2019-02-25,2,2019
0.0001436022726529,Jaffna,2019-02-25,2019-02-26,2,2019
