HCHO_reading,Location,Current_date,Next_date,Month,Year
0.0001760713459877,Kandy,2019-01-01,2019-01-02,1,2019
9.220391253917748e-05,Kandy,2019-01-02,2019-01-03,1,2019
9.486561917045285e-05,Kandy,2019-01-03,2019-01-04,1,2019
0.0001908681983853,Kandy,2019-01-04,2019-01-05,1,2019
0.0001219517840206,Kandy,2019-01-05,2019-01-06,1,2019
0.0001241151496249001,Kandy,2019-01-06,2019-01-07,1,2019
0.0001632382063926,Kandy,2019-01-07,2019-01-08,1,2019
0.0001241151496249001,Kandy,2019-01-08,2019-01-09,1,2019
0.0001279693658243,Kandy,2019-01-09,2019-01-10,1,2019
4.546048424126012e-05,Kandy,2019-01-10,2019-01-11,1,2019
3.600074175192105e-05,Kandy,2019-01-11,2019-01-12,1,2019
0.000128662969801,Kandy,2019-01-12,2019-01-13,1,2019
9.486561917045285e-05,Kandy,2019-01-13,2019-01-14,1,2019
9.486561917045285e-05,Kandy,2019-01-14,2019-01-15,1,2019
9.63639634671553e-05,Kandy,2019-01-15,2019-01-16,1,2019
9.486561917045285e-05,Kandy,2019-01-16,2019-01-17,1,2019
0.0001200971278484,Kandy,2019-01-17,2019-01-18,1,2019
0.0001241151496249001,Kandy,2019-01-18,2019-01-19,1,2019
0.0002825263761529,Kandy,2019-01-19,2019-01-20,1,2019
7.150631692646835e-05,Kandy,2019-01-20,2019-01-21,1,2019
0.0002833741508232,Kandy,2019-01-21,2019-01-22,1,2019
0.0002659407549829,Kandy,2019-01-22,2019-01-23,1,2019
5.8649506506635245e-05,Kandy,2019-01-23,2019-01-24,1,2019
0.0001241151496249001,Kandy,2019-01-24,2019-01-25,1,2019
0.0001092931769982,Kandy,2019-01-25,2019-01-26,1,2019
7.03689579655349e-05,Kandy,2019-01-26,2019-01-27,1,2019
0.0001647056354631,Kandy,2019-01-27,2019-01-28,1,2019
0.0001130180465294,Kandy,2019-01-28,2019-01-29,1,2019
0.0001141272676955,Kandy,2019-01-29,2019-01-30,1,2019
0.0001241151496249001,Kandy,2019-01-30,2019-01-31,1,2019
1.5133123262338617e-05,Kandy,2019-01-31,2019-02-01,1,2019
9.510527997488848e-05,Kandy,2019-02-01,2019-02-02,2,2019
3.0694719505487384e-05,Kandy,2019-02-02,2019-02-03,2,2019
7.653812219676619e-05,Kandy,2019-02-03,2019-02-04,2,2019
7.653812219676619e-05,Kandy,2019-02-04,2019-02-05,2,2019
7.653812219676619e-05,Kandy,2019-02-05,2019-02-06,2,2019
3.521572625649498e-05,Kandy,2019-02-06,2019-02-07,2,2019
0.000144733119523,Kandy,2019-02-07,2019-02-08,2,2019
7.648542999350917e-05,Kandy,2019-02-08,2019-02-09,2,2019
7.653812219676619e-05,Kandy,2019-02-09,2019-02-10,2,2019
7.653812219676619e-05,Kandy,2019-02-10,2019-02-11,2,2019
6.33983046513048e-05,Kandy,2019-02-11,2019-02-12,2,2019
6.099527672631667e-05,Kandy,2019-02-12,2019-02-13,2,2019
7.653812219676619e-05,Kandy,2019-02-13,2019-02-14,2,2019
7.653812219676619e-05,Kandy,2019-02-14,2019-02-15,2,2019
1.8666852257755813e-05,Kandy,2019-02-15,2019-02-16,2,2019
7.653812219676619e-05,Kandy,2019-02-16,2019-02-17,2,2019
0.0001525741076541,Kandy,2019-02-17,2019-02-18,2,2019
0.0001316059809503,Kandy,2019-02-18,2019-02-19,2,2019
5.400887798459826e-05,Kandy,2019-02-19,2019-02-20,2,2019
3.130874441109665e-05,Kandy,2019-02-20,2019-02-21,2,2019
7.944632635767093e-05,Kandy,2019-02-21,2019-02-22,2,2019
0.0001148911736891,Kandy,2019-02-22,2019-02-23,2,2019
0.0002118789208893,Kandy,2019-02-23,2019-02-24,2,2019
3.663116612296087e-05,Kandy,2019-02-24,2019-02-25,2,2019
4.493778690247384e-05,Kandy,2019-02-25,2019-02-26,2,2019
7.653812219676619e-05,Kandy,2019-02-26,2019-02-27,2,2019
7.653812219676619e-05,Kandy,2019-02-27,2019-02-28,2,2019
7.653812219676619e-05,Kandy,2019-02-28,2019-03-01,2,2019
0.00017536318287423585,Kandy,2019-03-01,2019-03-02,3,2019
0.000113648535998,Kandy,2019-03-02,2019-03-03,3,2019
0.0001120620195392,Kandy,2019-03-03,2019-03-04,3,2019
0.0002530551243115,Kandy,2019-03-04,2019-03-05,3,2019
0.0002326652722074,Kandy,2019-03-05,2019-03-06,3,2019
0.0001284045619553,Kandy,2019-03-06,2019-03-07,3,2019
0.0001646112972623,Kandy,2019-03-07,2019-03-08,3,2019
0.000177511546709,Kandy,2019-03-08,2019-03-09,3,2019
0.00017536318287423585,Kandy,2019-03-09,2019-03-10,3,2019
0.0001138036418406,Kandy,2019-03-10,2019-03-11,3,2019
0.0001638923213232,Kandy,2019-03-11,2019-03-12,3,2019
0.0001764080320851,Kandy,2019-03-12,2019-03-13,3,2019
4.218809439496275e-05,Kandy,2019-03-13,2019-03-14,3,2019
0.0001620084507506,Kandy,2019-03-14,2019-03-15,3,2019
0.0001104143683767,Kandy,2019-03-15,2019-03-16,3,2019
0.0001981838605184,Kandy,2019-03-16,2019-03-17,3,2019
0.0001831507209264,Kandy,2019-03-17,2019-03-18,3,2019
0.00018254810996324916,Kandy,2019-03-18,2019-03-19,3,2019
