HCHO_reading,Location,Current_date,Next_date,Month,Year
7.85325376073913e-05,Monaragala,2019-01-01,2019-01-02,1,2019
1.919914652467399e-05,Monaragala,2019-01-02,2019-01-03,1,2019
2.811447935930284e-05,Monaragala,2019-01-03,2019-01-04,1,2019
3.747998184385943e-05,Monaragala,2019-01-04,2019-01-05,1,2019
8.555328183798081e-05,Monaragala,2019-01-05,2019-01-06,1,2019
0.0001457836896179,Monaragala,2019-01-06,2019-01-07,1,2019
2.8285908025465342e-05,Monaragala,2019-01-07,2019-01-08,1,2019
7.85325376073913e-05,Monaragala,2019-01-08,2019-01-09,1,2019
0.000142085016705,Monaragala,2019-01-09,2019-01-10,1,2019
7.85325376073913e-05,Monaragala,2019-01-10,2019-01-11,1,2019
2.014587947072581e-05,Monaragala,2019-01-11,2019-01-12,1,2019
0.000158278766321,Monaragala,2019-01-12,2019-01-13,1,2019
7.85325376073913e-05,Monaragala,2019-01-13,2019-01-14,1,2019
7.85325376073913e-05,Monaragala,2019-01-14,2019-01-15,1,2019
9.952823849642218e-05,Monaragala,2019-01-15,2019-01-16,1,2019
7.484570960514249e-05,Monaragala,2019-01-16,2019-01-17,1,2019
7.736112226328797e-05,Monaragala,2019-01-17,2019-01-18,1,2019
7.85325376073913e-05,Monaragala,2019-01-18,2019-01-19,1,2019
3.9881410104076654e-05,Monaragala,2019-01-19,2019-01-20,1,2019
0.0001891620203853,Monaragala,2019-01-20,2019-01-21,1,2019
0.0001159969926423,Monaragala,2019-01-21,2019-01-22,1,2019
0.0001413523623709,Monaragala,2019-01-22,2019-01-23,1,2019
7.165379525100222e-05,Monaragala,2019-01-23,2019-01-24,1,2019
7.85325376073913e-05,Monaragala,2019-01-24,2019-01-25,1,2019
8.555328183798081e-05,Monaragala,2019-01-25,2019-01-26,1,2019
7.85325376073913e-05,Monaragala,2019-01-26,2019-01-27,1,2019
0.000180567368996,Monaragala,2019-01-27,2019-01-28,1,2019
9.113160086427456e-05,Monaragala,2019-01-28,2019-01-29,1,2019
7.241739856355372e-05,Monaragala,2019-01-29,2019-01-30,1,2019
7.85325376073913e-05,Monaragala,2019-01-30,2019-01-31,1,2019
4.098144742473462e-05,Monaragala,2019-01-31,2019-02-01,1,2019
5.186428352058307e-05,Monaragala,2019-02-01,2019-02-02,2,2019
7.083091690762345e-05,Monaragala,2019-02-02,2019-02-03,2,2019
7.083091690762345e-05,Monaragala,2019-02-03,2019-02-04,2,2019
7.083091690762345e-05,Monaragala,2019-02-04,2019-02-05,2,2019
7.083091690762345e-05,Monaragala,2019-02-05,2019-02-06,2,2019
1.051353380619686e-05,Monaragala,2019-02-06,2019-02-07,2,2019
4.076109671524861e-05,Monaragala,2019-02-07,2019-02-08,2,2019
7.59353421234044e-05,Monaragala,2019-02-08,2019-02-09,2,2019
7.083091690762345e-05,Monaragala,2019-02-09,2019-02-10,2,2019
7.34858268449358e-05,Monaragala,2019-02-10,2019-02-11,2,2019
1.0584419214865193e-05,Monaragala,2019-02-11,2019-02-12,2,2019
6.919795120446755e-05,Monaragala,2019-02-12,2019-02-13,2,2019
7.083091690762345e-05,Monaragala,2019-02-13,2019-02-14,2,2019
7.083091690762345e-05,Monaragala,2019-02-14,2019-02-15,2,2019
0.0001623480638954,Monaragala,2019-02-15,2019-02-16,2,2019
2.6644206895973665e-05,Monaragala,2019-02-16,2019-02-17,2,2019
0.0001362413198283,Monaragala,2019-02-17,2019-02-18,2,2019
5.895095797941796e-05,Monaragala,2019-02-18,2019-02-19,2,2019
7.990708924877695e-05,Monaragala,2019-02-19,2019-02-20,2,2019
8.647263683420719e-05,Monaragala,2019-02-20,2019-02-21,2,2019
6.580490440211678e-05,Monaragala,2019-02-21,2019-02-22,2,2019
0.0001173317679715,Monaragala,2019-02-22,2019-02-23,2,2019
0.0001372664223727,Monaragala,2019-02-23,2019-02-24,2,2019
0.0001183587731956,Monaragala,2019-02-24,2019-02-25,2,2019
7.083091690762345e-05,Monaragala,2019-02-25,2019-02-26,2,2019
7.518436167147883e-05,Monaragala,2019-02-26,2019-02-27,2,2019
7.083091690762345e-05,Monaragala,2019-02-27,2019-02-28,2,2019
7.083091690762345e-05,Monaragala,2019-02-28,2019-03-01,2,2019
0.00011935796907861525,Monaragala,2019-03-01,2019-03-02,3,2019
0.0002015221799451,Monaragala,2019-03-02,2019-03-03,3,2019
0.0002333378601804,Monaragala,2019-03-03,2019-03-04,3,2019
0.0001130560234093,Monaragala,2019-03-04,2019-03-05,3,2019
8.923271256196186e-05,Monaragala,2019-03-05,2019-03-06,3,2019
4.2696494065404425e-05,Monaragala,2019-03-06,2019-03-07,3,2019
0.0001021544478428,Monaragala,2019-03-07,2019-03-08,3,2019
0.000104415711202,Monaragala,2019-03-08,2019-03-09,3,2019
0.00011935796907861525,Monaragala,2019-03-09,2019-03-10,3,2019
0.0001057629100291,Monaragala,2019-03-10,2019-03-11,3,2019
0.0001954688702953,Monaragala,2019-03-11,2019-03-12,3,2019
0.0002339561330231,Monaragala,2019-03-12,2019-03-13,3,2019
