HCHO_reading,Location,Current_date,Next_date,Month,Year
8.772061942390459e-05,Nuwara Eliya,2019-01-01,2019-01-02,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-02,2019-01-03,1,2019
0.0001908293886956,Nuwara Eliya,2019-01-03,2019-01-04,1,2019
5.0976259171277377e-05,Nuwara Eliya,2019-01-04,2019-01-05,1,2019
6.456645496655256e-05,Nuwara Eliya,2019-01-05,2019-01-06,1,2019
8.982348709518115e-05,Nuwara Eliya,2019-01-06,2019-01-07,1,2019
4.097797651418246e-05,Nuwara Eliya,2019-01-07,2019-01-08,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-08,2019-01-09,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-09,2019-01-10,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-10,2019-01-11,1,2019
3.914670787137749e-05,Nuwara Eliya,2019-01-11,2019-01-12,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-12,2019-01-13,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-13,2019-01-14,1,2019
4.211950727039948e-05,Nuwara Eliya,2019-01-14,2019-01-15,1,2019
4.27055256923008e-05,Nuwara Eliya,2019-01-15,2019-01-16,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-16,2019-01-17,1,2019
0.0001077155480912,Nuwara Eliya,2019-01-17,2019-01-18,1,2019
2.1021983917616697e-05,Nuwara Eliya,2019-01-18,2019-01-19,1,2019
3.5177822608346057e-05,Nuwara Eliya,2019-01-19,2019-01-20,1,2019
8.95718212363389e-06,Nuwara Eliya,2019-01-20,2019-01-21,1,2019
0.0001169623557084,Nuwara Eliya,2019-01-21,2019-01-22,1,2019
0.0001423180803672,Nuwara Eliya,2019-01-22,2019-01-23,1,2019
5.387086215710865e-05,Nuwara Eliya,2019-01-23,2019-01-24,1,2019
5.8914353326833725e-05,Nuwara Eliya,2019-01-24,2019-01-25,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-25,2019-01-26,1,2019
8.772061942390459e-05,Nuwara Eliya,2019-01-26,2019-01-27,1,2019
0.0003344381531667,Nuwara Eliya,2019-01-27,2019-01-28,1,2019
0.0001509017772374,Nuwara Eliya,2019-01-28,2019-01-29,1,2019
0.0001841569476548,Nuwara Eliya,2019-01-29,2019-01-30,1,2019
3.054402387193301e-05,Nuwara Eliya,2019-01-30,2019-01-31,1,2019
3.6008610393953005e-05,Nuwara Eliya,2019-01-31,2019-02-01,1,2019
7.778077086008773e-05,Nuwara Eliya,2019-02-01,2019-02-02,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-02,2019-02-03,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-03,2019-02-04,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-04,2019-02-05,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-05,2019-02-06,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-06,2019-02-07,2,2019
8.962996522611401e-05,Nuwara Eliya,2019-02-07,2019-02-08,2,2019
6.902842232093944e-05,Nuwara Eliya,2019-02-08,2019-02-09,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-09,2019-02-10,2,2019
5.539429507152505e-05,Nuwara Eliya,2019-02-10,2019-02-11,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-11,2019-02-12,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-12,2019-02-13,2,2019
7.972334424266592e-05,Nuwara Eliya,2019-02-13,2019-02-14,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-14,2019-02-15,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-15,2019-02-16,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-16,2019-02-17,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-17,2019-02-18,2,2019
0.0001733092446862,Nuwara Eliya,2019-02-18,2019-02-19,2,2019
0.0002395688257623,Nuwara Eliya,2019-02-19,2019-02-20,2,2019
0.0001075724904002,Nuwara Eliya,2019-02-20,2019-02-21,2,2019
0.00011636103621245956,Nuwara Eliya,2019-02-21,2019-02-22,2,2019
0.00011636103621245956,Nuwara Eliya,2019-02-22,2019-02-23,2,2019
0.0001895221819805,Nuwara Eliya,2019-02-23,2019-02-24,2,2019
0.0002737589225376,Nuwara Eliya,2019-02-24,2019-02-25,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-25,2019-02-26,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-26,2019-02-27,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-27,2019-02-28,2,2019
0.00010438115490223853,Nuwara Eliya,2019-02-28,2019-03-01,2,2019
0.00011806760741571735,Nuwara Eliya,2019-03-01,2019-03-02,3,2019
0.0001235405797752,Nuwara Eliya,2019-03-02,2019-03-03,3,2019
0.00011806760741571735,Nuwara Eliya,2019-03-03,2019-03-04,3,2019
0.00011806760741571735,Nuwara Eliya,2019-03-04,2019-03-05,3,2019
0.0001477264081287,Nuwara Eliya,2019-03-05,2019-03-06,3,2019
6.384192250393643e-05,Nuwara Eliya,2019-03-06,2019-03-07,3,2019
0.0001673222246266,Nuwara Eliya,2019-03-07,2019-03-08,3,2019
8.084443465562647e-05,Nuwara Eliya,2019-03-08,2019-03-09,3,2019
0.00011806760741571735,Nuwara Eliya,2019-03-09,2019-03-10,3,2019
6.543632959168698e-05,Nuwara Eliya,2019-03-10,2019-03-11,3,2019
6.152930957380892e-05,Nuwara Eliya,2019-03-11,2019-03-12,3,2019
0.0002626515739848,Nuwara Eliya,2019-03-12,2019-03-13,3,2019
0.00011806760741571735,Nuwara Eliya,2019-03-13,2019-03-14,3,2019
9.745691103711994e-05,Nuwara Eliya,2019-03-14,2019-03-15,3,2019
